workload,ipc_no,ipc_adaptive,speedup_adaptive,accuracy_overall_adaptive,coverage_llc_adaptive,accuracy_l1d_adaptive,accuracy_l2c_adaptive,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless,ipc_default,speedup_default,accuracy_overall_default,coverage_llc_default,accuracy_l1d_default,accuracy_l2c_default
ya_warmup5000000_sim20000000-459.GemsFDTD-1320B,2.1121,2.7923,1.3220,0.3109,0.8132,0.2335,0.3124,583,1914,40447,89019,2.2004,1.0418,0.0983,0.3023,0.1406,0.0406
ya_warmup5000000_sim20000000-471.omnetpp-188B,0.4939,0.4185,0.8473,0.2636,0.4045,0.3492,0.2636,220,410,209436,585186,0.4266,0.8636,0.2132,0.1648,0.2427,0.2076
ya_warmup5000000_sim20000000-444.namd-321B,3.5020,3.5956,1.0267,0.7325,0.9252,0.6154,0.8235,1496,935,2576,552,3.5947,1.0265,0.4769,0.9002,0.4549,0.8290
ya_warmup5000000_sim20000000-459.GemsFDTD-765B,0.9227,1.2541,1.3592,0.4669,0.5765,0.9931,0.3200,49512,346,57138,121445,1.1810,1.2799,0.4678,0.5144,0.9045,0.2308
ya_warmup5000000_sim20000000-437.leslie3d-149B,2.2452,3.4554,1.5390,0.5950,0.8373,0.8826,0.5645,12010,1598,72560,55974,3.3769,1.5041,0.6581,0.8054,0.7875,0.4597
ya_warmup5000000_sim20000000-435.gromacs-228B,3.8884,3.9372,1.0125,0.8371,0.7477,0.2342,0.9814,181,592,3169,60,3.9290,1.0104,0.2689,0.4570,0.2399,0.9438
ya_warmup5000000_sim20000000-459.GemsFDTD-1211B,1.0242,1.5142,1.4784,0.5350,0.6405,0.9906,0.4066,45348,432,66027,96374,1.3321,1.3006,0.5130,0.5639,0.8904,0.3000
ya_warmup5000000_sim20000000-429.mcf-184B,0.0946,0.1244,1.3148,0.3213,0.5320,0.0000,0.3213,0,0,885769,1871376,0.1110,1.1731,0.1590,0.2228,0.0508,0.1730
ya_warmup5000000_sim20000000-436.cactusADM-1804B,1.4105,1.6970,1.2031,0.9858,0.6387,0.9815,0.9864,5506,104,43287,599,1.6893,1.1977,0.7933,0.6481,0.7506,0.9727
ya_warmup5000000_sim20000000-444.namd-166B,3.5396,3.6282,1.0250,0.8157,0.8807,0.6417,0.9977,1721,961,2559,6,3.6331,1.0264,0.5122,0.8932,0.4970,0.9956
