workload,ipc_no,ipc_adaptive,speedup_adaptive,accuracy_overall_adaptive,coverage_llc_adaptive,accuracy_l1d_adaptive,accuracy_l2c_adaptive,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless,ipc_default,speedup_default,accuracy_overall_default,coverage_llc_default,accuracy_l1d_default,accuracy_l2c_default
ya_warmup5000000_sim5000000-437.leslie3d-273B,2.2601,3.1123,1.3770,0.9792,0.8433,0.9340,0.9865,2705,191,17708,243,3.0704,1.3585,0.8956,0.8073,0.8636,0.9800
ya_warmup5000000_sim5000000-400.perlbench-41B,1.2087,1.2172,1.0070,0.1895,0.5413,0.1487,0.1896,29,166,16314,69727,1.1791,0.9755,0.1786,0.3993,0.2161,0.1711
ya_warmup5000000_sim5000000-464.h264ref-57B,2.7651,2.7909,1.0093,0.4346,0.6059,0.8208,0.2896,1402,306,1317,3231,2.7863,1.0077,0.5563,0.5598,0.7184,0.2658
ya_warmup5000000_sim5000000-429.mcf-192B,0.0911,0.1232,1.3523,0.3630,0.5902,0.0000,0.3630,0,0,248450,435941,0.1061,1.1647,0.0859,0.1806,0.0131,0.0866
ya_warmup5000000_sim5000000-453.povray-252B,2.3457,2.3631,1.0074,0.5315,0.6061,0.2165,0.9000,76,275,270,30,2.3467,1.0004,0.2879,0.5232,0.2821,0.9384
ya_warmup5000000_sim5000000-444.namd-23B,3.5594,3.6215,1.0174,0.7308,0.8617,0.4218,0.9686,124,170,370,12,3.6201,1.0170,0.4540,0.8236,0.4466,0.9776
ya_warmup5000000_sim5000000-458.sjeng-1088B,1.3455,1.3465,1.0007,0.0349,0.0909,0.0968,0.0340,15,140,366,10403,1.3463,1.0006,0.0456,0.0775,0.0699,0.0312
ya_warmup5000000_sim5000000-434.zeusmp-10B,2.7236,3.1786,1.1671,0.2964,0.6890,0.0837,0.5026,1131,12386,7005,6932,3.2186,1.1817,0.1756,0.6271,0.1459,0.4174
ya_warmup5000000_sim5000000-433.milc-127B,0.5645,0.5556,0.9842,0.4256,0.1961,1.0000,0.1299,20527,0,5181,34702,0.5493,0.9730,0.9970,0.1936,1.0000,0.9383
ya_warmup5000000_sim5000000-447.dealII-3B,2.8341,2.8424,1.0029,0.9071,0.8824,0.9041,1.0000,2328,247,83,0,2.8398,1.0020,0.7400,0.8403,0.7397,1.0000
ya_warmup5000000_sim5000000-450.soplex-247B,0.4049,0.5836,1.4414,0.5343,0.6960,0.9716,0.4852,18709,547,83177,88268,0.5580,1.3783,0.5936,0.6008,0.8280,0.4494
ya_warmup5000000_sim5000000-401.bzip2-7B,2.0466,2.1551,1.0530,0.3701,0.6722,0.6456,0.3642,184,101,4860,8484,2.1125,1.0322,0.3989,0.5106,0.4256,0.3782
ya_warmup5000000_sim5000000-416.gamess-875B,2.8231,2.8346,1.0041,0.8719,0.6407,0.1562,0.9810,5,27,206,4,2.8324,1.0033,0.2208,0.5153,0.1817,1.0000
ya_warmup5000000_sim5000000-401.bzip2-277B,2.0844,1.3589,0.6519,0.1117,0.1540,0.0000,0.1117,0,0,24731,196688,1.7792,0.8536,0.1617,0.0834,0.0797,0.1620
ya_warmup5000000_sim5000000-482.sphinx3-1100B,1.1527,1.8645,1.6174,0.6111,0.8442,0.9826,0.5002,18522,328,31612,31581,1.8097,1.5699,0.6596,0.7760,0.8561,0.4557
ya_warmup5000000_sim5000000-454.calculix-104B,1.9375,1.9377,1.0001,1.0000,0.2500,1.0000,1.0000,2,0,1,0,1.9377,1.0001,1.0000,0.2500,1.0000,0.0000
ya_warmup5000000_sim5000000-481.wrf-455B,1.7980,2.9377,1.6339,0.9505,0.8679,0.9320,0.9674,13271,968,14998,505,2.9716,1.6528,0.9152,0.8863,0.9195,0.5670
